"date","Q","swe"
2013-01-01,0,5.6
2013-01-02,0,5.6
2013-01-03,0,5.7
2013-01-04,0,5.7
2013-01-05,0,5.7
2013-01-06,0,5.7
2013-01-07,0,5.8
2013-01-08,0,5.8
2013-01-09,0,5.8
2013-01-10,0,5.8
2013-01-11,0,5.8
2013-01-12,0,5.7
2013-01-13,0,5.7
2013-01-14,0,5.7
2013-01-15,0,5.7
2013-01-16,0,6
2013-01-17,0,6
2013-01-18,0,6
2013-01-19,0,6
2013-01-20,0,6
2013-01-21,0,5.9
2013-01-22,0,5.9
2013-01-23,0,6
2013-01-24,0,6
2013-01-25,0,6
2013-01-26,0,6
2013-01-27,0,6
2013-01-28,0,6.1
2013-01-29,0,6.5
2013-01-30,0,6.6
2013-01-31,0,7
2013-02-01,0,7
2013-02-02,0,7.1
2013-02-03,0,7.2
2013-02-04,0,7.2
2013-02-05,0,7.2
2013-02-06,0,7.2
2013-02-07,0,7.3
2013-02-08,0,7.3
2013-02-09,0,7.4
2013-02-10,0,7.9
2013-02-11,0,8
2013-02-12,0,8.1
2013-02-13,0,8.1
2013-02-14,0,8.1
2013-02-15,0,8.7
2013-02-16,0,9.1
2013-02-17,0,9.1
2013-02-18,0,9.3
2013-02-19,0,9.4
2013-02-20,0,9.4
2013-02-21,0,9.4
2013-02-22,0,9.4
2013-02-23,0,9.4
2013-02-24,0,9.8
2013-02-25,0,10
2013-02-26,0,10.2
2013-02-27,0,10.2
2013-02-28,0,10.2
2013-03-01,0,10.5
2013-03-02,0,10.9
2013-03-03,0,11
2013-03-04,0,11.5
2013-03-05,0,11.8
2013-03-06,0,12
2013-03-07,21.2,12
2013-03-08,28.6,12
2013-03-09,23.5,12.3
2013-03-10,29.5,12.5
2013-03-11,23.5,12.6
2013-03-12,22.2,13
2013-03-13,21.5,13.1
2013-03-14,26.9,13.1
2013-03-15,31.9,13.1
2013-03-16,38,13.1
2013-03-17,31.9,13.1
2013-03-18,17.3,13
2013-03-19,18.7,13
2013-03-20,23.6,13
2013-03-21,29.7,13.2
2013-03-22,24.7,13.3
2013-03-23,30.4,13.4
2013-03-24,38.2,13.6
2013-03-25,37.8,13.9
2013-03-26,35.4,14.1
2013-03-27,30.3,14.4
2013-03-28,28.7,14.6
2013-03-29,33,14.6
2013-03-30,35.2,14.7
2013-03-31,36.8,14.9
2013-04-01,36.2,14.9
2013-04-02,36.2,14.9
2013-04-03,29.8,15
2013-04-04,23.4,15.1
2013-04-05,25.8,14.9
2013-04-06,26.1,15.1
