"date","swe","Q"
2001-03-01,5.7,37.7
2001-04-01,9.9,33.2
2001-05-01,11.2,165
2001-06-01,14.5,1240
2001-07-01,18.1,484
2001-08-01,20.3,166
2001-09-01,2.4,32.7
2001-10-01,0,56.9
2001-11-01,0,43.6
2001-12-01,0,39.8
2001-03-02,5.7,37.7
2001-04-02,10,31.6
2001-05-02,11.4,247
2001-06-02,14.5,1400
2001-07-02,18.1,423
2001-08-02,19.7,171
2001-09-02,0.6,30.1
2001-10-02,0,50.5
2001-11-02,0,46
2001-12-02,0,45.9
2001-04-03,10,35.2
2001-05-03,11.4,295
2001-06-03,14.5,1550
2001-07-03,18.1,385
2001-08-03,20.7,156
2001-09-03,0,20.7
2001-10-03,0,48.2
2001-11-03,0,39.9
2001-12-03,0,53.5
2001-04-04,10,39.1
2001-05-04,11.6,119
2001-06-04,14.5,1440
2001-07-04,18.1,370
2001-08-04,21,162
2001-09-04,0,25.9
2001-10-04,0,48.6
2001-11-04,0,42.4
2001-12-04,0,38.1
2001-04-05,10,44
2001-05-05,11.6,134
2001-06-05,14.5,1160
2001-07-05,18.1,358
2001-08-05,21.3,159
2001-09-05,0,23.5
2001-10-05,0,52.4
2001-11-05,0,39.6
2001-04-06,10,36.2
2001-05-06,11.8,302
2001-06-06,14.5,1030
2001-07-06,18,354
2001-08-06,21.7,155
2001-09-06,0,29.9
2001-10-06,0,53.3
2001-11-06,0,39.3
2001-04-07,10,34.7
2001-05-07,12,344
2001-06-07,14.5,914
2001-07-07,18.3,373
2001-08-07,21.7,256
2001-09-07,0,37.6
2001-10-07,0,50.4
2001-11-07,0,43.5
2001-03-08,6,35.7
2001-04-08,10,29.7
2001-05-08,12.1,306
2001-06-08,14.5,998
2001-07-08,18.3,490
2001-08-08,21.4,249
2001-09-08,0,62.4
2001-10-08,0,49.7
2001-11-08,0,47.9
2001-03-09,6.1,31.8
2001-04-09,10,27
2001-05-09,12.3,301
2001-06-09,14.4,938
2001-07-09,18.5,459
2001-08-09,20.9,350
2001-09-09,0,46.9
2001-10-09,0,50.1
2001-11-09,0,47
2001-03-10,6.2,34.9
2001-04-10,10,28.8
2001-05-10,12.4,195
2001-06-10,14.5,975
2001-07-10,18.5,512
2001-08-10,20.5,279
2001-09-10,0,40.5
2001-10-10,0,53.4
2001-11-10,0,32.1
2001-03-11,6.7,29.4
2001-04-11,10.1,42
2001-05-11,12.4,243
2001-06-11,14.5,1100
2001-07-11,19.2,482
2001-08-11,19.5,249
2001-09-11,0,39.2
2001-10-11,0,63.1
2001-11-11,0,25.3
2001-03-12,6.8,26.2
2001-04-12,10.1,30.2
2001-05-12,12.6,276
2001-06-12,15.1,1120
2001-07-12,20,427
2001-08-12,18.4,210
2001-09-12,0,47.1
2001-10-12,0,53.8
2001-11-12,0,42.8
2001-03-13,7,27.1
2001-04-13,10.1,27.6
2001-05-13,12.7,364
2001-06-13,15.1,974
2001-07-13,20.3,399
2001-08-13,17.1,185
2001-09-13,0,68.8
2001-10-13,0,47.8
2001-11-13,0,45.5
2001-03-14,7,27.8
2001-04-14,10.3,27.2
2001-05-14,12.8,574
2001-06-14,15.1,875
2001-07-14,20.4,359
2001-08-14,16.5,174
2001-09-14,0,58.8
2001-10-14,0,47.4
2001-11-14,0,39
2001-03-15,7.1,21.1
2001-04-15,10.3,25.6
2001-05-15,13,669
2001-06-15,15.6,735
2001-07-15,20.5,307
2001-08-15,15.7,185
2001-09-15,0,63
2001-10-15,0,50.7
2001-11-15,0,34.7
2001-03-16,7.2,19.9
2001-04-16,10.3,26.3
2001-05-16,13,664
2001-06-16,15.6,679
2001-07-16,20.5,245
2001-08-16,14.5,217
2001-09-16,0,57.7
2001-10-16,0,49.6
2001-11-16,0,33.4
2001-03-17,7.2,25.2
2001-04-17,10.3,27.8
2001-05-17,13.1,755
2001-06-17,15.8,639
2001-07-17,20.3,233
2001-08-17,13.7,202
2001-09-17,0,64.8
2001-10-17,0,45.8
2001-03-18,7.7,24.9
2001-04-18,10.3,27.3
2001-05-18,13.1,723
2001-06-18,15.9,601
2001-07-18,20.1,246
2001-08-18,13.3,169
2001-09-18,0,102
2001-10-18,0,48.8
2001-03-19,8.1,26.3
2001-04-19,10.4,34.2
2001-05-19,13.1,768
2001-06-19,16,558
2001-07-19,20,224
2001-08-19,12.8,161
2001-09-19,0,105
2001-10-19,0,50.3
2001-11-19,0,27.4
2001-03-20,8.4,33.4
2001-04-20,10.4,46.2
2001-05-20,13.4,780
2001-06-20,16,614
2001-07-20,19.9,215
2001-08-20,11.9,154
2001-09-20,0,70.9
2001-10-20,0,47
2001-11-20,0,19.2
2001-03-21,8.7,36.4
2001-04-21,10.5,52.6
2001-05-21,13.5,675
2001-06-21,16,659
2001-07-21,19.9,238
2001-08-21,11.6,152
2001-09-21,0,49.5
2001-10-21,0,46.5
2001-11-21,0,27.5
2001-03-22,8.8,35.8
2001-04-22,10.5,73.7
2001-05-22,13.8,597
2001-06-22,16.2,661
2001-07-22,20.2,233
2001-08-22,11.6,152
2001-09-22,0,46.4
2001-10-22,0,47.9
2001-11-22,0,51.1
2001-03-23,8.9,37.6
2001-04-23,10.5,48.7
2001-05-23,13.8,743
2001-06-23,16.3,623
2001-07-23,21.3,231
2001-08-23,11,139
2001-09-23,0,73.2
2001-10-23,0,54.8
2001-11-23,0,59.1
2001-03-24,8.9,37.1
2001-04-24,10.5,63.3
2001-05-24,13.8,902
2001-06-24,16.3,652
2001-07-24,21.4,236
2001-08-24,9.8,106
2001-09-24,0,67.5
2001-10-24,0,62.5
2001-11-24,0,36.3
2001-03-25,9.1,35.7
2001-04-25,10.6,73.8
2001-05-25,13.9,990
2001-06-25,16.4,725
2001-07-25,21.3,231
2001-08-25,8.7,84.4
2001-09-25,0,62.1
2001-10-25,0,63.2
2001-11-25,0,20.1
2001-03-26,9.1,37.7
2001-04-26,10.7,95.3
2001-05-26,14,935
2001-06-26,17.1,728
2001-07-26,21.4,215
2001-08-26,7.7,71.6
2001-09-26,0,53.8
2001-10-26,0,55.7
2001-11-26,0,29.1
2001-03-27,9.1,37.8
2001-04-27,10.7,114
2001-05-27,14.1,1040
2001-06-27,17.1,733
2001-07-27,21.3,226
2001-08-27,7,61.5
2001-09-27,0,51.6
2001-10-27,0,65.6
2001-11-27,0,28.4
2001-03-28,9.1,34
2001-04-28,10.8,124
2001-05-28,14.2,1170
2001-06-28,17.1,632
2001-07-28,21.3,181
2001-08-28,6,45.5
2001-09-28,0,53.9
2001-10-28,0,54.8
2001-11-28,0,46.5
2001-03-29,9.1,32
2001-04-29,11,138
2001-05-29,NA,1370
2001-06-29,17.5,594
2001-07-29,21,180
2001-08-29,5.4,50.1
2001-09-29,0,58.8
2001-10-29,0,52.6
